Comment,Designator,Footprint,LCSC
NPN,"Q1,Q2",SOT-23,C2145
150,"R3,R5",R_0603_1608Metric,C22808
10k,"R16,R20,R8",R_0603_1608Metric,C25804
47k,"R15,R18,R7",R_0603_1608Metric,C25819
PhotoDiode,"D5,D8,D9",LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,C2900211
75,"R11,R9",R_0603_1608Metric,C4275
LED,"D1,D2,D3,D4,D6,D7",LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,C55528
TestPoint,TP5,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP4,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP3,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP2,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP1,TestPoint_Pad_1.5x1.5mm,
4.7k,R21,R_0603_1608Metric,
4.7k,R19,R_0603_1608Metric,
4.7k,R17,R_0603_1608Metric,
22,R14,R_0603_1608Metric,
22,R13,R_0603_1608Metric,
22,R12,R_0603_1608Metric,
100,R10,R_0603_1608Metric,
100,R6,R_0603_1608Metric,
22,R4,R_0603_1608Metric,
22,R2,R_0603_1608Metric,
22,R1,R_0603_1608Metric,
SJ_Open,JP15,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP14,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP13,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP12,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP11,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP10,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP9,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP8,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP7,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
